customer_id,snapshot_date,county,sector,employment_type,gender,age,kyc_level,relationship_length_months,salary_inflow_flag,product_type,loan_balance_kes,credit_limit_kes,utilization_ratio,interest_rate,loan_term_months,collateral_value_kes,loan_to_value,bureau_score,num_active_loans,num_closed_loans,days_past_due,missed_payments_6m,avg_daily_balance_30d_kes,inflow_30d_kes,outflow_30d_kes,digital_txn_count_30d,atm_withdrawals_30d,branch_visits_30d,collection_contacted_after_snapshot,chargeoff_indicator,days_to_next_payment,default_next_90d
C00075,2025-01-01,Nairobi,Construction,Self_Employed,M,51,Tier2,47,0,Personal_Loan,598407.22,,,0.1949,12,539775.4,1.1086,656.4,1,0,0,3,9323.99,35869.96,22482.64,23,0,1,1,1,187,1
C00082,2025-01-01,Machakos,SME_Services,Micro_Enterprise,M,40,Tier2,8,0,Personal_Loan,260020.18,,,0.217,24,276227.09,0.9413,641.7,1,1,3,1,14423.22,47911.61,50234.53,19,4,1,0,0,17,0
C00084,2025-01-01,Nairobi,SME_Services,Self_Employed,F,58,Tier2,103,1,Overdraft,176077.17,94773.91,1.4784,0.2784,0,126094.98,1.3964,626.8,1,4,0,1,2905.64,20990.1,15194.61,32,6,1,0,0,22,0
C00085,2025-01-01,Mombasa,SME_Trade,Self_Employed,F,49,Tier1,53,1,Personal_Loan,264249.82,,,0.1748,12,138208.99,1.912,602.9,1,0,0,0,9426.88,105022.11,103579.92,21,4,1,0,0,29,0
C00087,2025-01-01,Kiambu,SME_Services,Self_Employed,F,25,Tier1,33,0,Personal_Loan,194806.89,,,0.2059,36,282003.27,0.6908,677.0,3,1,0,3,1252.66,6852.06,9690.51,19,7,1,0,0,34,0
C00091,2025-01-01,Mombasa,Salaried,Permanent,F,40,Tier2,103,1,SME_Loan,302894.56,,,0.2001,36,275895.92,1.0979,556.0,1,0,7,3,22944.01,101128.22,112460.36,28,9,0,0,0,22,0
C00092,2025-01-01,Nairobi,Salaried,Contract,M,57,Tier2,36,1,Personal_Loan,189188.33,,,0.2515,24,222968.55,0.8485,722.9,1,0,7,1,10690.62,59875.73,49539.06,24,5,0,0,0,222,1
C00094,2025-01-01,Uasin Gishu,SME_Services,Micro_Enterprise,M,38,Tier1,34,0,Credit_Card,194716.03,82127.02,1.8,0.1969,0,,,563.4,1,0,8,2,5218.75,12698.83,15123.52,20,5,1,0,0,28,0
C00095,2025-01-01,Nairobi,Agribusiness,Micro_Enterprise,F,61,Tier3,18,0,Personal_Loan,358880.0,,,0.2242,24,0.0,5.0,592.5,2,1,0,1,6414.4,40808.1,54653.79,22,3,0,0,0,9,0
C00100,2025-01-01,Nairobi,Other,Self_Employed,M,27,Tier3,107,1,Personal_Loan,524784.06,,,0.2165,18,390317.56,1.3445,610.0,1,0,5,0,2111.79,8653.89,9295.0,18,4,1,0,0,7,0
C00101,2025-01-01,Kakamega,SME_Trade,Micro_Enterprise,F,58,Tier2,62,1,Personal_Loan,234618.72,,,0.2526,12,,,705.8,3,0,3,3,7214.84,63007.73,78632.46,18,1,1,0,0,11,0
C00102,2025-01-01,Machakos,Salaried,Permanent,M,29,Tier2,88,1,SME_Loan,613078.17,,,0.1912,12,118435.32,5.0,597.9,1,0,10,2,3770.26,18755.54,24083.43,26,2,0,0,0,24,0
C00103,2025-01-01,Kiambu,Salaried,Permanent,M,57,Tier3,72,1,Credit_Card,99601.32,226479.95,0.5958,0.319,0,,,666.8,1,3,5,1,12439.17,76432.27,78029.22,23,6,0,0,0,17,0
C00105,2025-01-01,Kakamega,SME_Services,Self_Employed,M,56,Tier3,55,0,SME_Loan,542667.57,,,0.1305,24,534651.8,1.015,619.6,2,1,0,0,0.0,9542.43,7905.31,19,2,1,0,0,19,0
C00106,2025-01-01,Kakamega,Salaried,Permanent,M,56,Tier3,104,1,Personal_Loan,5126.04,,,0.1952,18,564580.05,0.05,591.4,1,0,0,0,25714.3,111132.49,38663.96,27,4,0,0,0,9,0
C00109,2025-01-01,Mombasa,Salaried,Contract,F,42,Tier2,85,1,Personal_Loan,182602.04,,,0.2354,36,0.0,5.0,763.1,2,2,3,1,10786.61,55736.74,79589.08,28,12,0,0,0,6,0
C00112,2025-01-01,Nairobi,SME_Trade,Self_Employed,M,56,Tier3,40,0,Personal_Loan,173966.18,,,0.2802,18,330223.41,0.5268,697.8,2,1,0,3,21614.28,83492.03,107886.91,23,4,1,0,0,20,0
C00121,2025-01-01,Nairobi,SME_Services,Micro_Enterprise,F,40,Tier1,120,0,Personal_Loan,390148.7,,,0.2168,12,0.0,5.0,667.3,1,1,0,2,34.44,4148.88,4948.72,20,2,0,0,0,33,0
C00126,2025-01-01,Kiambu,Salaried,Permanent,M,46,Tier2,95,1,Personal_Loan,228240.18,,,0.2661,36,525008.09,0.4347,594.7,1,1,2,0,1978.84,30740.79,36961.1,37,9,0,1,0,18,0
C00129,2025-01-01,Nairobi,Salaried,Permanent,M,46,Tier2,10,1,Personal_Loan,291948.49,,,0.1914,12,154797.2,1.886,727.2,2,1,6,3,5203.3,26848.14,19621.8,30,8,2,0,0,31,0
C00130,2025-01-01,Meru,SME_Trade,Self_Employed,M,49,Tier2,54,1,SME_Loan,457668.94,,,0.1777,48,,,664.3,3,2,0,1,12011.13,88626.36,65360.95,20,6,1,0,0,10,0
C00131,2025-01-01,Nairobi,Agribusiness,Micro_Enterprise,M,46,Tier1,46,0,Overdraft,76638.77,295801.5,0.2289,0.2539,0,206147.55,0.3718,691.4,1,1,0,1,1268.87,22364.54,20131.97,24,1,1,0,0,18,0
C00135,2025-01-01,Nairobi,SME_Trade,Self_Employed,F,56,Tier2,106,0,Overdraft,148195.89,133757.25,1.2332,0.3198,0,226651.48,0.6538,535.6,1,0,4,4,11154.92,57642.58,53509.19,18,2,4,1,0,132,1
C00137,2025-01-01,Nairobi,Salaried,Permanent,F,48,Tier3,89,1,SME_Loan,445071.38,,,0.2019,36,87213.84,5.0,668.9,4,0,0,1,612.37,10025.32,6883.65,27,10,0,0,0,17,0
C00143,2025-01-01,Nyeri,Agribusiness,Micro_Enterprise,M,33,Tier2,93,0,Personal_Loan,275986.44,,,0.1381,12,411046.11,0.6714,558.6,1,0,9,1,9041.31,92103.84,34370.32,18,5,0,0,0,21,0
C00144,2025-01-01,Kisumu,Salaried,Permanent,F,39,Tier2,55,1,SME_Loan,785107.07,,,0.1452,36,596889.51,1.3153,712.9,1,0,1,2,36718.59,165730.31,145655.23,20,8,2,0,0,16,0
C00146,2025-01-01,Kisumu,Salaried,Permanent,F,59,Tier3,71,1,Personal_Loan,270600.92,,,0.2378,18,1043774.62,0.2593,621.1,1,0,0,1,1676.33,14038.63,11869.17,30,6,0,0,0,33,0
C00149,2025-01-01,Kiambu,Salaried,Permanent,F,57,Tier1,27,1,Overdraft,89955.83,115137.88,0.5219,0.2102,0,70291.05,1.2798,596.6,1,0,8,0,7230.86,24639.06,24407.12,25,7,1,0,0,25,0
C00151,2025-01-01,Kiambu,Salaried,Permanent,M,59,Tier1,53,1,Overdraft,73906.09,292229.29,0.1721,0.2356,0,,,700.6,1,0,5,2,0.0,84887.57,109991.92,27,8,2,0,0,7,0
C00156,2025-01-01,Kiambu,Salaried,Permanent,F,50,Tier1,4,1,Overdraft,217817.36,303873.81,0.7182,0.2845,0,72798.52,2.9921,612.5,1,1,0,0,26205.32,108352.6,58944.5,29,6,2,0,0,10,0
C00158,2025-01-01,Nairobi,Transport,Self_Employed,F,46,Tier1,29,0,SME_Loan,891644.07,,,0.227,36,0.0,5.0,586.2,2,0,0,0,0.0,0.0,0.0,16,4,1,1,1,179,1
C00159,2025-01-01,Nairobi,SME_Trade,Micro_Enterprise,M,43,Tier2,13,1,Personal_Loan,368570.77,,,0.1408,36,583439.68,0.6317,690.2,1,1,5,0,346.72,4504.55,4352.18,16,5,1,0,0,25,0
C00161,2025-01-01,Nairobi,Salaried,Permanent,F,65,Tier3,10,1,Personal_Loan,372975.06,,,0.295,36,,,592.8,2,1,0,2,0.0,6729.16,4009.76,27,7,2,0,0,34,0
C00163,2025-01-01,Mombasa,SME_Services,Micro_Enterprise,M,39,Tier2,101,0,Personal_Loan,519145.99,,,0.2156,12,,,569.3,1,1,1,2,816.45,2770.29,2807.68,12,4,1,0,0,13,0
C00167,2025-01-01,Nairobi,SME_Trade,Micro_Enterprise,M,35,Tier3,42,0,Credit_Card,79853.42,194714.61,0.3928,0.2754,0,,,447.9,1,1,0,0,2283.48,19417.66,11182.66,20,6,1,0,0,17,0
C00168,2025-01-01,Nyeri,Salaried,Permanent,M,28,Tier1,51,1,Personal_Loan,319558.12,,,0.2054,24,248403.64,1.2864,666.9,1,1,6,1,19775.15,76628.16,75010.57,24,5,1,0,0,20,0
C00171,2025-01-01,Mombasa,SME_Trade,Self_Employed,M,25,Tier1,71,1,SME_Loan,435871.84,,,0.2989,12,547820.32,0.7956,586.4,2,1,1,2,30288.51,118486.17,96945.26,10,3,0,0,0,32,0
C00172,2025-01-01,Nakuru,Agribusiness,Self_Employed,F,25,Tier2,22,0,Personal_Loan,368518.05,,,0.2541,18,502238.24,0.7338,665.3,1,2,4,1,1634.64,22400.69,13434.66,19,2,0,1,0,17,0
C00174,2025-01-01,Nairobi,Salaried,Permanent,F,53,Tier2,96,1,Overdraft,47855.94,412323.82,0.0415,0.2586,0,98687.13,0.4849,621.9,2,0,15,2,6610.11,46566.94,55135.05,31,8,0,0,0,15,0
C00178,2025-01-01,Machakos,Other,Micro_Enterprise,M,28,Tier2,104,1,Credit_Card,189874.2,206250.6,0.9211,0.1786,0,,,629.1,1,0,6,3,3102.76,15801.6,16972.84,13,9,0,0,0,22,0
C00184,2025-01-01,Kisumu,Other,Micro_Enterprise,M,52,Tier3,64,0,Overdraft,240930.63,220856.53,1.086,0.2262,0,137715.81,1.7495,532.1,2,1,5,1,17726.35,55745.32,38844.18,21,3,2,0,0,26,0
C00185,2025-01-01,Kiambu,Transport,Micro_Enterprise,M,43,Tier2,30,0,Overdraft,0.0,197237.26,0.0,0.1994,0,256632.56,0.05,620.8,1,0,10,2,6683.66,120277.02,149481.35,15,1,1,0,0,26,0
C00186,2025-01-01,Nairobi,Hospitality,Self_Employed,F,41,Tier1,50,1,SME_Loan,812893.18,,,0.1627,36,,,615.8,3,2,1,0,65.33,160823.71,112832.78,14,2,1,0,0,8,0
C00190,2025-01-01,Nairobi,Hospitality,Self_Employed,F,34,Tier1,79,0,Overdraft,181032.85,353106.06,0.5878,0.1958,0,148831.81,1.2164,607.5,1,3,4,2,56928.02,141228.82,160030.72,24,7,2,0,0,27,0
C00191,2025-01-01,Nairobi,Salaried,Contract,F,51,Tier2,37,1,Personal_Loan,237733.92,,,0.2206,18,359061.76,0.6621,565.4,3,0,9,1,185.4,1064.4,709.2,28,9,2,0,0,33,0
C00193,2025-01-01,Machakos,Salaried,Permanent,F,48,Tier2,59,1,Personal_Loan,403278.73,,,0.219,36,164068.68,2.458,638.2,1,1,0,1,19563.34,87757.46,32390.47,19,6,0,0,0,24,0
C00195,2025-01-01,Nyeri,Transport,Self_Employed,M,64,Tier1,25,0,Personal_Loan,413375.44,,,0.2533,12,,,615.7,1,1,0,1,8596.67,39429.82,16795.71,20,10,3,0,0,19,0
C00196,2025-01-01,Nairobi,Agribusiness,Self_Employed,M,24,Tier1,10,1,SME_Loan,1135980.16,,,0.2012,24,0.0,5.0,582.2,1,0,0,1,7627.39,42042.77,37234.91,25,2,1,0,0,26,0
C00197,2025-01-01,Meru,Salaried,Permanent,F,36,Tier1,63,1,Personal_Loan,616372.86,,,0.2194,36,,,534.6,1,2,0,0,2169.01,97683.82,52388.36,33,2,0,0,0,31,0
C00203,2025-01-01,Machakos,Salaried,Permanent,M,43,Tier2,81,1,Credit_Card,140396.84,129501.97,1.0678,0.2575,0,,,727.5,1,1,2,0,0.0,0.0,0.0,24,9,0,0,0,6,0
C00206,2025-01-01,Nakuru,Salaried,Contract,M,32,Tier3,87,1,SME_Loan,316710.8,,,0.1503,24,488604.79,0.6482,711.7,2,1,0,1,84007.67,312115.73,247954.68,39,3,1,0,0,30,0
C00211,2025-01-01,Kiambu,Salaried,Contract,M,32,Tier2,5,1,Personal_Loan,286314.28,,,0.2506,24,453987.12,0.6307,665.4,1,0,0,0,1890.15,28730.01,24657.48,18,7,1,0,0,6,0
C00214,2025-01-01,Kiambu,SME_Services,Self_Employed,F,41,Tier3,30,0,SME_Loan,395957.25,,,0.1362,24,561591.02,0.7051,676.4,2,1,5,2,0.0,50968.12,34026.92,18,3,1,0,0,11,0
C00226,2025-01-01,Nairobi,Salaried,Permanent,F,34,Tier2,75,1,Personal_Loan,537561.62,,,0.2189,18,,,675.4,2,2,4,0,0.0,33751.91,22577.17,22,2,1,1,0,16,0
C00227,2025-01-01,Nairobi,Salaried,Permanent,M,57,Tier2,94,1,Personal_Loan,143705.74,,,0.2288,12,626079.96,0.2295,675.4,1,3,8,1,18192.31,74013.66,68385.31,23,7,0,1,0,29,0
C00228,2025-01-01,Kisumu,Hospitality,Self_Employed,M,47,Tier3,31,0,Personal_Loan,396020.93,,,0.2487,18,334156.58,1.1851,661.5,4,2,1,0,0.0,57751.37,45556.56,17,5,0,0,0,26,0
C00229,2025-01-01,Nakuru,Agribusiness,Micro_Enterprise,M,45,Tier1,29,0,Personal_Loan,802389.06,,,0.2663,12,817708.2,0.9813,667.7,1,2,0,0,1407.91,54273.55,27436.97,14,5,0,0,0,29,0
C00238,2025-01-01,Nairobi,Other,Self_Employed,M,40,Tier2,106,0,Personal_Loan,169385.03,,,0.2399,24,,,545.2,1,0,0,0,186.34,553.15,579.8,16,4,0,0,0,21,0
C00239,2025-01-01,Kisumu,Salaried,Contract,M,34,Tier1,100,1,Overdraft,96060.83,536059.13,0.2296,0.2425,0,,,610.0,1,0,1,1,0.0,39171.63,35962.32,35,4,1,0,0,5,0
C00245,2025-01-01,Meru,SME_Trade,Micro_Enterprise,M,49,Tier2,56,0,Personal_Loan,157983.77,,,0.2513,36,,,738.6,2,1,0,3,6548.12,39848.93,39247.57,16,3,2,0,0,19,0
C00247,2025-01-01,Nyeri,Transport,Self_Employed,F,55,Tier3,24,0,Personal_Loan,417808.46,,,0.2357,12,0.0,5.0,482.7,1,1,16,2,2739.12,15627.74,22279.7,29,2,0,1,0,141,1
C00248,2025-01-01,Mombasa,SME_Trade,Self_Employed,F,39,Tier2,83,0,Credit_Card,0.0,335641.54,0.0274,0.3546,0,,,753.1,1,0,1,2,0.0,0.0,0.0,21,5,0,0,0,33,0
C00249,2025-01-01,Nairobi,Other,Self_Employed,M,56,Tier2,57,0,Credit_Card,44398.49,286775.76,0.0546,0.2653,0,,,663.0,3,1,6,1,1664.59,20185.58,26060.75,15,6,1,0,0,5,0
C00251,2025-01-01,Nairobi,Construction,Micro_Enterprise,M,29,Tier2,92,0,SME_Loan,945737.19,,,0.3155,12,563356.51,1.6788,629.0,3,0,0,0,1453.95,12983.98,11939.25,17,1,0,0,0,29,0
C00253,2025-01-01,Nairobi,SME_Trade,Self_Employed,M,29,Tier1,10,0,SME_Loan,446720.78,,,0.1958,36,574249.72,0.7779,660.5,3,0,0,1,3999.73,20379.47,14662.65,21,5,0,0,0,26,0
C00255,2025-01-01,Meru,Salaried,Permanent,F,50,Tier1,116,1,Personal_Loan,394770.7,,,0.1789,36,,,624.0,2,1,2,1,9012.62,174619.66,183283.97,27,8,1,0,0,5,0
C00258,2025-01-01,Kisumu,SME_Services,Self_Employed,F,25,Tier1,78,0,Personal_Loan,224980.52,,,0.2303,36,605275.98,0.3717,594.9,3,0,14,3,8784.98,141287.23,208815.55,16,7,2,0,0,31,0
C00260,2025-01-01,Uasin Gishu,Salaried,Permanent,M,47,Tier2,95,1,Overdraft,6904.87,199031.83,0.0,0.2557,0,99602.33,0.0693,618.9,1,0,3,0,26049.83,104088.25,110464.06,26,9,0,0,0,5,0
C00268,2025-01-01,Nairobi,SME_Trade,Self_Employed,F,36,Tier2,90,0,Personal_Loan,314350.03,,,0.2039,18,30080.37,5.0,637.9,1,2,0,0,1939.41,8190.43,7327.7,16,5,3,0,0,31,0
C00269,2025-01-01,Nairobi,Agribusiness,Self_Employed,M,48,Tier2,23,0,SME_Loan,554806.81,,,0.2474,36,270723.63,2.0493,509.8,1,0,9,0,10669.4,82773.5,74508.72,11,3,2,0,0,156,1
C00270,2025-01-01,Nakuru,Transport,Self_Employed,F,47,Tier3,8,0,Overdraft,38783.65,129337.31,0.3491,0.308,0,,,648.6,3,2,6,1,9738.92,46209.98,35349.55,21,6,2,0,0,32,0
C00273,2025-01-01,Kisumu,Construction,Micro_Enterprise,F,27,Tier3,90,0,SME_Loan,1204621.53,,,0.1675,12,,,704.1,1,1,11,2,0.0,83304.96,78537.48,22,3,2,0,0,13,0
C00279,2025-01-01,Nyeri,Salaried,Permanent,M,23,Tier2,13,1,Credit_Card,140159.48,209933.04,0.7763,0.3972,0,,,657.4,1,0,0,0,9440.09,56297.79,67864.66,28,9,0,0,0,20,0
C00281,2025-01-01,Mombasa,Salaried,Permanent,F,33,Tier3,38,1,Personal_Loan,339807.87,,,0.2156,36,387872.65,0.8761,647.4,1,1,0,0,0.0,44067.92,27985.86,27,8,1,0,0,22,0
C00283,2025-01-01,Nakuru,SME_Trade,Self_Employed,F,51,Tier1,59,1,SME_Loan,518442.25,,,0.2545,36,197831.26,2.6206,523.8,1,1,17,1,18587.8,66586.05,46255.87,19,1,1,0,0,30,0
C00284,2025-01-01,Mombasa,Construction,Self_Employed,F,43,Tier2,19,0,Overdraft,72688.39,368883.95,0.1132,0.2025,0,120722.91,0.6021,642.9,1,1,0,1,0.0,0.0,0.0,26,8,1,0,0,20,0
C00286,2025-01-01,Machakos,Salaried,Contract,M,63,Tier3,58,1,Overdraft,91618.36,65665.48,1.1087,0.2466,0,0.0,5.0,729.9,2,2,1,1,5627.05,51775.22,37497.68,34,5,2,0,0,20,0
C00287,2025-01-01,Nairobi,Construction,Self_Employed,M,28,Tier1,26,0,Personal_Loan,257468.94,,,0.2402,24,16008.04,5.0,537.1,2,0,0,1,4481.39,26317.18,13008.21,11,4,1,0,0,34,0
C00289,2025-01-01,Mombasa,Salaried,Contract,M,45,Tier2,82,1,Credit_Card,71619.26,291583.45,0.2561,0.2181,0,,,616.5,1,1,0,1,17394.94,67832.63,59693.51,27,5,0,0,0,26,0
C00298,2025-01-01,Uasin Gishu,SME_Trade,Self_Employed,M,40,Tier2,103,0,SME_Loan,1061103.79,,,0.1046,24,584569.98,1.8152,711.4,2,1,0,1,14242.47,61726.34,46606.38,19,2,3,0,0,27,0
C00306,2025-01-01,Meru,Hospitality,Self_Employed,M,27,Tier3,93,0,SME_Loan,557063.6,,,0.2067,36,355291.28,1.5679,657.2,1,0,0,2,9428.88,33386.9,34002.88,15,5,0,0,0,20,0
C00309,2025-01-01,Kiambu,Salaried,Permanent,F,35,Tier2,22,1,Overdraft,57958.63,209051.99,0.3318,0.3283,0,136481.05,0.4247,645.5,1,0,12,0,5119.37,16123.29,12525.63,29,5,0,1,0,32,0
C00312,2025-01-01,Mombasa,Hospitality,Self_Employed,F,51,Tier1,103,0,Personal_Loan,264794.63,,,0.223,36,727678.2,0.3639,659.1,2,0,0,1,8301.68,78069.87,40119.79,20,6,0,0,0,28,0
C00315,2025-01-01,Kakamega,Salaried,Permanent,F,31,Tier2,100,1,Personal_Loan,295827.99,,,0.2768,36,598265.6,0.4945,658.7,2,1,3,2,57934.23,306526.08,226509.14,25,3,1,0,0,13,0
C00316,2025-01-01,Nairobi,SME_Services,Self_Employed,M,50,Tier3,24,0,SME_Loan,812091.35,,,0.2094,12,903491.84,0.8988,800.8,4,1,6,5,18281.99,79537.61,75656.93,29,4,1,0,0,24,0
C00318,2025-01-01,Nairobi,SME_Services,Self_Employed,M,53,Tier3,77,0,SME_Loan,1117769.32,,,0.1672,12,903289.69,1.2374,564.8,2,2,6,1,24923.16,266268.18,226911.91,34,1,3,0,0,5,0
C00322,2025-01-01,Nairobi,Salaried,Contract,F,25,Tier2,97,1,Personal_Loan,392752.29,,,0.154,18,0.0,5.0,656.6,2,2,1,1,28463.21,71950.72,75386.89,20,4,0,0,0,16,0
C00325,2025-01-01,Mombasa,Agribusiness,Micro_Enterprise,F,64,Tier2,8,0,Personal_Loan,210646.57,,,0.202,36,0.0,5.0,707.6,1,0,0,1,13762.52,63049.44,39132.13,15,4,1,0,0,32,0
C00326,2025-01-01,Nairobi,Salaried,Permanent,M,31,Tier2,54,1,Credit_Card,167526.3,238510.29,0.6822,0.3486,0,,,605.2,1,0,2,2,6375.72,68806.8,57415.3,21,4,0,0,0,22,0
C00328,2025-01-01,Kiambu,Agribusiness,Micro_Enterprise,F,22,Tier2,64,0,Personal_Loan,455957.72,,,0.2157,24,235588.21,1.9354,731.8,1,0,0,5,1712.64,13545.55,17433.59,15,3,5,1,1,220,1
C00329,2025-01-01,Meru,Salaried,Permanent,F,27,Tier1,50,1,Personal_Loan,478602.94,,,0.236,12,759755.47,0.6299,727.7,1,0,0,0,23691.13,88840.74,67805.12,31,6,1,0,0,16,0
C00333,2025-01-01,Mombasa,Salaried,Permanent,M,34,Tier2,8,1,Overdraft,85893.92,267964.54,0.3459,0.2368,0,123712.22,0.6943,578.2,1,4,17,2,13368.44,216059.8,307841.07,19,4,0,1,0,19,0
C00334,2025-01-01,Kiambu,Salaried,Permanent,F,58,Tier3,59,1,Personal_Loan,115325.34,,,0.1691,12,236646.0,0.4873,516.7,1,1,13,2,57815.24,136291.8,136692.03,32,3,1,0,0,18,0
C00336,2025-01-01,Nyeri,Salaried,Permanent,F,57,Tier2,38,1,Overdraft,328481.64,376643.94,0.938,0.1292,0,11313.24,5.0,695.4,1,1,1,3,296.83,865.21,867.65,19,6,0,1,0,25,0
